title,bag_of_words
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
OPPO F5 (4/64) Top offer (New),Uttara  Dhaka New OPPO Other model mobiles Original 
Apple iPhone 11 128GB Dual sim (Used),Khilgaon  Dhaka Used Apple iPhone 11 mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
OnePlus Nord 2 (Used),AmberKhana  Sylhet Used OnePlus Other model mobiles Original 
Xiaomi Mi 3 2/16 intact box (New),ElephantRoad  Dhaka New Xiaomi Mi 3 mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21(Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
OnePlus Nord 2 (Used),AmberKhana  Sylhet Used OnePlus Other model mobiles Original 
OPPO F1s (4+32)gb (New),Jatrabari  Dhaka New OPPO F1s mobiles Refurbished 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
Asus m1,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Samsung Galaxy M30s (6/128) (New),Bagerhat  Khulna Division New Samsung Galaxy M30s mobiles Original 
à¦®à§‹à¦¬à¦¾à¦‡à¦² à¦ à¦à¦•à§à¦¸à¦Ÿà§à¦°à¦¾ à¦¸à¦¿à¦® à¦¬à§à¦¯à¦¬à¦¹à¦¾à¦° à¦•à¦°à¦¾à¦° à¦à¦•à§à¦¸à¦Ÿà§‡à¦¨à§à¦¡à¦¾à¦°-à§«à¦Ÿà¦¿,Demra  Dhaka New Xiaomi Other model mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Samsung S20 Fe 8/128 White (Used),Uttara  Dhaka Used Samsung S20 Fe mobiles Original 
Samsung A10s Fixed (Used),Basundhara  Dhaka Used Samsung A10s mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
Samsung Galaxy A71 (Used),Khilkhet  Dhaka Used Samsung Galaxy A71 mobiles Original 
Realme C21 (Used),Lalbag  Dhaka Used Realme Other model mobiles Original 
Apple iPhone 11 128GB Dual sim (Used),Khilgaon  Dhaka Used Apple iPhone 11 mobiles Original 
Xiaomi Redmi S2 4/64GB BIG OFFER (New),Mirpur  Dhaka New Xiaomi Redmi S2 mobiles Original 
Xiaomi Redmi 9 xaoimi note (Used),NewMarket  Rajshahi Used Xiaomi Redmi 9 mobiles Original 
Samsung Galaxy J5 (Used),Sirajganj  Rajshahi Division Used Samsung Galaxy J5 mobiles Original 
Robi Corporate SIM Cards Supply,Baridhara  Dhaka New Xiaomi Other model mobiles Original 
Apple iPhone 7 128gb (Used),Lalbag  Dhaka Used Apple iPhone 7 mobiles Original 
OPPO F1s (4.32gb dam fixx (Used),Badda  Dhaka Used OPPO Other model mobiles Original 
à¦à¦•à¦Ÿà¦¿ Asus m1 à¦à¦° à¦¬à§à¦¯à¦¾à¦• à¦•à¦­à¦¾à¦° à¦²à¦¾à¦—à¦¬à§‡,Faridpur  Dhaka Division Used Xiaomi Other model mobiles Original 
Xiaomi Mi A3 ram 6gb/rom 128gb (Used),Uttara  Dhaka Used Xiaomi Mi A3 mobiles Original 
Xiaomi Redmi Note 7 3 gb ram 32gb rom (Used),Sonadanga  Khulna Used Xiaomi Redmi Note 7 mobiles Original 
OnePlus 8T 8 / 128 (Used),Naogaon  Rajshahi Division Used OnePlus 8T mobiles Original 
Apple iPhone 8 Plus 256gn (Used),Mirpur  Dhaka Used Apple iPhone 8 Plus mobiles Original 
Xiaomi Redmi 3S (Used),AmberKhana  Sylhet Used Xiaomi Other model mobiles Refurbished 
Vivo Y20 (Used),BeltolaFeriGhat  Barishal Used Vivo Y20 mobiles Original 
Samsung Galaxy C9 Pro Motherboard,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung Galaxy A50 Motherboard 6/64,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
Samsung M21 à¦«à§à¦² à¦«à§à¦°à§‡à¦¶ (Used),Kushtia  Khulna Division Used Samsung M21 mobiles Original 
iPhone XS Display Fresh,Mohammadpur  Dhaka Used Xiaomi Other model mobiles Original 
OPPO A15 3/32 (Used),Gazipur  Dhaka Division Used OPPO A15 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Khilgaon  Dhaka Used Xiaomi Redmi Note 7 mobiles Original 
Huawei U120 2Gb Ram (Used),Mirpur  Dhaka Used Huawei U120 mobiles Original 
Xiaomi Redmi Note 7 4/64 (Used),Gazipur  Dhaka Division Used Xiaomi Redmi Note 7 mobiles Original 
Apple iPhone 8 Plus (Used),Bogura  Rajshahi Division Used Apple iPhone 8 Plus mobiles Original 
ZTE Blade V7 Plus 2+16 (Used),Basabo  Dhaka Used ZTE Blade V7 Plus mobiles Original 
Realme C17 (Used),Paltan  Dhaka Used Realme C17 mobiles Original 
